1, 0
10000000, 0
20000000, 0.01
30000000, 0
40000000, 0.01
50000000, 0.02
60000000, 0.01
70000000, 0.02
80000000, 0.01
90000000, 0.03
100000000, 0.02
110000000, 0.02
120000000, 0.03
130000000, 0.03
140000000, 0.03
150000000, 0.04
160000000, 0.04
170000000, 0.04
180000000, 0.04
190000000, 0.04
200000000, 0.05
210000000, 0.04
220000000, 0.06
230000000, 0.05
240000000, 0.05
250000000, 0.06
260000000, 0.06
270000000, 0.07
280000000, 0.07
290000000, 0.07
300000000, 0.08
310000000, 0.09
320000000, 0.08
330000000, 0.09
340000000, 0.08
350000000, 0.08
360000000, 0.09
370000000, 0.08
380000000, 0.09
390000000, 0.09
400000000, 0.09
410000000, 0.1
420000000, 0.1
430000000, 0.1
440000000, 0.1
450000000, 0.1
460000000, 0.11
470000000, 0.13
480000000, 0.12
490000000, 0.11
500000000, 0.11
510000000, 0.12
520000000, 0.12
530000000, 0.12
540000000, 0.13
550000000, 0.13
560000000, 0.13
570000000, 0.13
580000000, 0.13
590000000, 0.14
600000000, 0.14
610000000, 0.14
620000000, 0.28
630000000, 0.15
640000000, 0.14
650000000, 0.21
660000000, 0.15
670000000, 0.16
680000000, 0.16
690000000, 0.16
700000000, 0.16
710000000, 0.16
720000000, 0.17
730000000, 0.17
740000000, 0.17
750000000, 0.17
760000000, 0.18
770000000, 0.18
780000000, 0.18
790000000, 0.18
800000000, 0.19
810000000, 0.19
820000000, 0.2
830000000, 0.19
840000000, 0.2
850000000, 0.2
860000000, 0.19
870000000, 0.21
880000000, 0.2
890000000, 0.2
900000000, 0.21
910000000, 0.21
920000000, 0.22
930000000, 0.21
940000000, 0.22
950000000, 0.22
960000000, 0.22
970000000, 0.23
980000000, 0.22
990000000, 0.23
